timestamps,open,high,low,close,volume,amount
2024/12/2 15:00,5.946,6.062,5.939,6.036,3653448.38,2198082.089
2024/12/3 15:00,6.038,6.058,5.977,6.026,2970410.58,1786279.165
2024/12/4 15:00,6.02,6.042,5.948,5.981,2643418.26,1582832.037
2024/12/5 15:00,5.965,6.022,5.948,5.998,1955046.75,1170127.566
2024/12/6 15:00,5.996,6.118,5.968,6.076,5358862.13,3246628.869
2024/12/9 15:00,6.075,6.098,6.004,6.043,4031534.05,2440193.6
2024/12/10 15:00,6.28,6.283,6.077,6.095,5552326.38,3428981.363
2024/12/11 15:00,6.081,6.153,6.078,6.141,5613923.21,3442316.136
2024/12/12 15:00,6.14,6.216,6.123,6.197,4293466.52,2651723.763
2024/12/13 15:00,6.138,6.161,6.08,6.099,7779195.98,4752739.365
2024/12/16 15:00,6.09,6.097,5.986,6.005,4533264.26,2728886.124
2024/12/17 15:00,6.001,6.018,5.932,5.941,4412301.1,2629190.849
2024/12/18 15:00,5.955,6.018,5.94,5.979,2669873.95,1596610.199
2024/12/19 15:00,5.931,6.016,5.907,5.997,3254784.48,1940603.791
2024/12/20 15:00,5.987,6.05,5.979,6.009,4144642.59,2494039.595
2024/12/23 15:00,6.01,6.025,5.911,5.915,4681948.97,2789552.324
2024/12/24 15:00,5.916,5.991,5.915,5.982,4469853.55,2660178.402
2024/12/25 15:00,5.983,5.983,5.884,5.932,4826392.95,2862134.19
2024/12/26 15:00,5.932,5.988,5.927,5.977,2742466.05,1637401.616
2024/12/27 15:00,5.967,6.075,5.967,5.991,3076206.21,1851891.986
2024/12/30 15:00,5.988,6.021,5.958,5.989,1887245.43,1131333.792
2024/12/31 15:00,5.989,5.999,5.808,5.811,7477379.23,4398943.159
2025/1/2 15:00,5.807,5.809,5.579,5.637,4351665,2480093.177
2025/1/3 15:00,5.632,5.665,5.504,5.523,4461329.68,2491017.173
2025/1/6 15:00,5.515,5.568,5.471,5.51,3302310.52,1820016.062
2025/1/7 15:00,5.511,5.569,5.484,5.568,4055359.79,2245699.727
2025/1/8 15:00,5.55,5.592,5.41,5.545,4236655.25,2328052.709
2025/1/9 15:00,5.525,5.579,5.521,5.541,2684389.73,1491120.294
2025/1/10 15:00,5.537,5.586,5.456,5.459,2313565.09,1274891.586
2025/1/13 15:00,5.411,5.509,5.41,5.468,2985826.8,1630045.186
2025/1/14 15:00,5.481,5.675,5.456,5.655,5016495.85,2806795.065
2025/1/15 15:00,5.645,5.652,5.599,5.61,4353645.45,2446449.508
2025/1/16 15:00,5.542,5.633,5.5,5.537,5068270.11,2819882.907
2025/1/17 15:00,5.51,5.621,5.51,5.581,2755504.83,1535603.875
2025/1/20 15:00,5.615,5.666,5.593,5.608,3234080.71,1821892.696
2025/1/21 15:00,5.63,5.645,5.567,5.628,3450430.12,1934419.704
2025/1/22 15:00,5.611,5.619,5.559,5.607,3212695.28,1794710.245
